16,16,00000000,00000000
32,32,00000000,00000000
48,48,00000000,00000000
64,64,00000000,00000000
80,80,00000000,00000000
96,96,00000000,00000000
112,112,00000000,00000000
128,128,00000000,00000000
144,144,00000000,00000000
160,160,00000000,00000000
176,176,00000000,00000000
192,192,00000000,00000000
208,208,00000000,00000000
224,224,00000000,00000000
240,240,00000000,00000000
256,256,00000000,00000000
272,272,00000000,00000000
288,288,00000000,00000000
304,304,00000000,00000000
320,320,00000000,00000000
336,336,00000000,00000000
352,352,00000000,00000000
368,368,00000000,00000000
384,384,00000000,00000000
400,400,00000000,00000000
416,416,00000000,00000000
432,432,00000000,00000000
448,448,00000000,00000000
464,464,00000000,00000000
480,480,00000000,00000000
496,496,00000000,00000000
512,512,00000000,00000000
528,528,00000000,00000000
544,544,00000000,00000000
560,560,00000000,00000000
576,576,00000000,00000000
592,592,00000000,00000000
608,608,00000000,00000000
624,624,00000000,00000000
640,640,00000000,00000000
656,656,00000000,00000000
672,672,00000000,00000000
688,688,00000000,00000000
704,704,00000000,00000000
720,720,00000000,00000000
736,736,00000000,00000000
752,752,00000000,00000000
768,768,00000000,00000000
784,784,00000000,00000000
800,800,00000000,00000000
816,816,00000000,00000000
832,832,00000000,00000000
848,848,00000000,00000000
864,864,00000000,00000000
880,880,00000000,00000000
896,896,00000000,00000000
912,912,00000000,00000000
928,928,00000000,00000000
944,944,00000000,00000000
960,960,00000000,00000000
976,976,00000000,00000000
992,992,00000000,00000000
1008,1008,00000000,00000000
1024,1024,00000000,00000000
1040,1040,00000000,00000000
1056,1056,00000000,00000000
1072,1072,00000000,00000000
1088,1088,00000000,00000000
1104,1104,00000000,00000000
1120,1120,00000000,00000000
1136,1136,00000000,00000000
1152,1152,00000000,00000000
1168,1168,00000000,00000000
1184,1184,00000000,00000000
1200,1200,00000000,00000000
1216,1216,00000000,00000000
1232,1232,00000000,00000000
1248,1248,00000000,00000000
1264,1264,00000000,00000000
1280,1280,00000000,00000000
1296,1296,00000000,00000000
1312,1312,00000000,00000000
1328,1328,00000000,00000000
1344,1344,00000000,00000000
1360,1360,00000000,00000000
1376,1376,00000000,00000000
1392,1392,00000000,00000000
1408,1408,00000000,00000000
1424,1424,00000000,00000000
1440,1440,00000000,00000000
1456,1456,00000000,00000000
1472,1472,00000000,00000000
1488,1488,00000000,00000000
1504,1504,00000000,00000000
1520,1520,00000000,00000000
1536,1536,00000000,00000000
1552,1552,00000000,00000000
1568,1568,00000000,00000000
1584,1584,00000000,00000000
1600,1600,00000000,00000000
1616,1616,00000000,00000000
1632,1632,00000000,00000000
1648,1648,00000000,00000000
1664,1664,00000000,00000000
1680,1680,00000000,00000000
1696,1696,00000000,00000000
1712,1712,00000000,00000000
1728,1728,00000000,00000000
1744,1744,00000000,00000000
1760,1760,00000000,00000000
1776,1776,00000000,00000000
1792,1792,00000000,00000000
1808,1808,00000000,00000000
1824,1824,00000000,00000000
1840,1840,00000000,00000000
1856,1856,00000000,00000000
1872,1872,00000000,00000000
1888,1888,00000000,00000000
1904,1904,00000000,00000000
1920,1920,00000000,00000000
1936,1936,00000000,00000000
1952,1952,00000000,00000000
1968,1968,00000000,00000000
1984,1984,00000000,00000000
2000,2000,00000000,00000000
2016,2016,00000000,00000000
2032,2032,00000000,00000000
2048,2048,00000000,00000000
2064,2064,00000000,00000000
